date,org,repo,forks,stars,commits,collaborators
2025-03-01,usdot-fhwa-stol,WxDE,1,0,231,5
2025-03-01,usdot-fhwa-stol,carma-cloud,16,25,295,13
2025-03-01,usdot-fhwa-stol,carma-platform,125,411,7820,39
2025-03-01,usdot-fhwa-stol,CARMAConcept,1,2,8,3
2025-03-01,usdot-fhwa-stol,carma-msgs,10,6,1309,32
2025-03-01,usdot-fhwa-stol,carma-utils,6,2,972,29
2025-03-01,usdot-fhwa-stol,carma-torc-pinpoint-driver,3,1,677,24
2025-03-01,usdot-fhwa-stol,carma-torc-xgv-controller-driver,1,1,185,10
2025-03-01,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2,0,638,11
2025-03-01,usdot-fhwa-stol,carma-freightliner-2012-controller-driver,1,0,193,9
2025-03-01,usdot-fhwa-stol,v2x-ros-driver,11,12,769,27
2025-03-01,usdot-fhwa-stol,carma-web-ui,5,4,1352,26
2025-03-01,usdot-fhwa-stol,carma-delphi-esr-driver,3,5,570,19
2025-03-01,usdot-fhwa-stol,carma-delphi-srr2-driver,1,0,152,11
2025-03-01,usdot-fhwa-stol,carma-vehicle-model-framework,4,6,166,16
2025-03-01,usdot-fhwa-stol,carma-velodyne-lidar-driver,3,0,261,22
2025-03-01,usdot-fhwa-stol,carma-ssc-interface-wrapper,8,2,384,23
2025-03-01,usdot-fhwa-stol,carma-base,7,1,348,25
2025-03-01,usdot-fhwa-stol,carma-config,12,4,875,31
2025-03-01,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,3,1,182,17
2025-03-01,usdot-fhwa-stol,carma-messenger,12,14,614,26
2025-03-01,usdot-fhwa-stol,carma-1-tenth,7,12,8,3
2025-03-01,usdot-fhwa-stol,carma-lightbar-driver,2,2,158,17
2025-03-01,usdot-fhwa-stol,carma-rtk,1,0,1,1
2025-03-01,usdot-fhwa-stol,cdasim,14,41,821,22
2025-03-01,usdot-fhwa-stol,ads-traffic-regs,2,3,1,1
2025-03-01,usdot-fhwa-stol,cav-education,4,3,120,6
2025-03-01,usdot-fhwa-stol,carma-analytics-fotda,4,3,199,14
2025-03-01,usdot-fhwa-stol,carma-validation,2,0,52,3
2025-03-01,usdot-fhwa-stol,carma-streets,11,10,476,13
2025-03-01,usdot-fhwa-stol,c1t_vesc_driver,1,0,15,2
2025-03-01,usdot-fhwa-stol,c1t_razor_imu_m0_driver,2,0,9,2
2025-03-01,usdot-fhwa-stol,c1t_rplidar_driver,1,0,7,2
2025-03-01,usdot-fhwa-stol,c1t_zed_driver,1,0,7,2
2025-03-01,usdot-fhwa-stol,carma-mobileye-driver,1,0,4,2
2025-03-01,usdot-fhwa-stol,autoware.auto,4,3,1525,62
2025-03-01,usdot-fhwa-stol,tim-bc,1,0,98,5
2025-03-01,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,1,1,70,13
2025-03-01,usdot-fhwa-stol,voices-cda-use-case-scenario-database,1,0,6,3
2025-03-01,usdot-fhwa-stol,voices-poc,2,0,668,14
2025-03-01,usdot-fhwa-stol,testing-training-tools,1,0,1,1
2025-03-01,usdot-fhwa-stol,cda-telematics,2,1,459,10
2025-03-01,usdot-fhwa-stol,carma-carla-integration,3,2,273,12
2025-03-01,usdot-fhwa-stol,github_metrics,2,0,359,7
2025-03-01,usdot-fhwa-stol,devops,3,1,47,6
2025-03-01,usdot-fhwa-stol,documentation,1,0,1,1
2025-03-01,usdot-fhwa-stol,dwm1001_ros2,4,1,11,1
2025-03-01,usdot-fhwa-stol,c1t-tools,1,0,3,1
2025-03-01,usdot-fhwa-stol,multiple_object_tracking,5,12,69,7
2025-03-01,usdot-fhwa-stol,v2x-emulator,2,1,32,9
2025-03-01,usdot-fhwa-stol,carma-builds,2,0,59,8
2025-03-01,usdot-fhwa-stol,.github,2,0,8,3
2025-03-01,usdot-fhwa-stol,snmp-client,1,3,15,2
2025-03-01,usdot-fhwa-stol,actions,1,0,76,8
2025-03-01,usdot-fhwa-stol,carma-time-lib,4,1,48,7
2025-03-01,usdot-fhwa-stol,cavams,1,0,1,0
2025-03-01,usdot-fhwa-stol,carma-ns3-adapter,3,0,66,8
2025-03-01,usdot-fhwa-stol,voices-common-interface,1,0,1,1
2025-03-01,usdot-fhwa-stol,ns3-federate,1,0,72,4
2025-03-01,usdot-fhwa-stol,ns-3_c-v2x,2,0,13721,152
2025-03-01,usdot-fhwa-stol,carma-geodetic-lib,1,0,2,2
2025-03-01,usdot-fhwa-stol,carma-slamtec-lidar-driver,1,0,8,4
2025-03-01,usdot-fhwa-stol,scenario-runner,1,0,20,4
2025-03-01,usdot-fhwa-stol,carla-sensor-lib,2,0,53,6
2025-03-01,usdot-fhwa-stol,cave-lite,1,0,47,1
2025-03-01,usdot-fhwa-stol,j2735decoder,2,4,6,1
2025-03-01,usdot-fhwa-stol,Stol-scratchpad,1,0,11,1
2025-03-01,usdot-fhwa-stol,cda1tenth-bringup,1,0,47,5
2025-03-01,usdot-fhwa-stol,connectedvcs-tools,5,0,192,9
2025-03-01,usdot-fhwa-stol,navigation2-extensions,3,7,54,6
2025-03-01,usdot-fhwa-stol,twist_to_ackermann,1,0,7,2
2025-03-01,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,1,1,10,2
2025-03-01,usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,1,0,8,2
2025-03-01,usdot-fhwa-stol,infrastructure-camera-detection-and-tracking,1,1,2,2
2025-03-01,usdot-fhwa-stol,carma-messenger-bridge,3,1,56,4
2025-03-01,usdot-fhwa-stol,carma-developer-tools,1,0,5,1
2025-03-01,usdot-fhwa-stol,v2x-ros-conversion,2,1,12,5
2025-03-01,usdot-fhwa-stol,kafka-client,1,0,8,1
2025-03-01,usdot-fhwa-stol,udp-time-sync,1,0,2,1
2025-03-01,usdot-fhwa-stol,temp_test_repo,1,0,2,2
2025-03-01,usdot-fhwa-stol,udp-socket,0,0,2,1
2025-03-01,usdot-fhwa-stol,carma-dbw-mkz-ros,0,0,488,5
2025-03-01,usdot-fhwa-stol,cdasim-config,0,0,1,1
